Call Sign,Origin,Destination,EOBT,TOBT,CTOT,Stand Assignment
HGO1154,ZZZZ,EKCH,,06:10,NIL,E89
BAW2BK,ZZZZ,EKCH,,06:30,NIL,E74
TRA44,ZZZZ,EKCH,,06:40,NIL,F9
UAL1983,ZZZZ,EKCH,,07:00,NIL,C29
NSZ3079,ZZZZ,EKCH,,07:30,NIL,A26
EZY63JB,EGKK,EKCH,,07:35,NIL,F1
SAS747,ZZZZ,EKCH,,07:50,NIL,E36
SAS55W,EKAH,EKCH,,08:00,NIL,D4
DLH824,ZZZZ,EKCH,,08:05,NIL,A15
DLH8LT,ZZZZ,EKCH,,08:10,NIL,A14
RYR201N,ZZZZ,EKCH,,08:10,NIL,F4
ACA828,ZZZZ,EKCH,,08:50,NIL,C28
SAS62L,ZZZZ,EKCH,,08:55,NIL,B19
SAS923,ZZZZ,EKCH,,09:05,NIL,E83
SAS43C,ENGM,EKCH,,09:05,NIL,B4
BEL1ZT,ZZZZ,EKCH,,09:05,NIL,A9
DLH533,ZZZZ,EKCH,,09:15,NIL,A4
SAS2479,ZZZZ,EKCH,,09:15,NIL,B6
SAS1630,EDDL,EKCH,,09:15,NIL,B6
SAS684,LIMC,EKCH,,09:25,NIL,B4
VKG295,ZZZZ,EKCH,,09:35,NIL,A27
SAS768,LKPR,EKCH,,09:40,NIL,E83
SAS658,EDDS,EKCH,,09:40,NIL,B19
SIA353,ZZZZ,EKCH,,09:50,NIL,C35
SAS1707,EFHK,EKCH,,09:55,NIL,B19
SAS455,ZZZZ,EKCH,,10:00,NIL,D4
SAS988A,ZZZZ,EKCH,,10:10,NIL,E86
SAS409,ZZZZ,EKCH,,10:10,NIL,E71
SAS625,ZZZZ,EKCH,,10:15,NIL,A4
BER43,ZZZZ,EKCH,,10:20,NIL,A27
WZZ8636,ZZZZ,EKCH,,10:30,NIL,F5
SAS91F,ZZZZ,EKCH,,10:35,NIL,E33
NSZ3221,ZZZZ,EKCH,,10:35,NIL,A21
NSZ611,ZZZZ,EKCH,,10:40,NIL,D2
SAS1421,ESSA,EKCH,,10:40,NIL,E36
BAW33A,ZZZZ,EKCH,,10:45,NIL,C27
AUA301,ZZZZ,EKCH,,10:50,NIL,A15
NSZ3085,ZZZZ,EKCH,,10:55,NIL,D3
SAS48P,ESGG,EKCH,,11:10,NIL,B19
SAS417,ZZZZ,EKCH,,11:10,NIL,B6
SAS1688,LIML,EKCH,,11:25,NIL,A21
VKG1119,ZZZZ,EKCH,,11:30,NIL,A27
TAP752,ZZZZ,EKCH,,12:05,NIL,A17
RYR54J,ZZZZ,EKCH,,12:05,NIL,F1
ACA2569,ZZZZ,EKCH,,12:10,NIL,E75
SAS28K,LSGG,EKCH,,12:20,NIL,B6
NOZ940,ENGM,EKCH,,12:20,NIL,A8
BEL8MN,ZZZZ,EKCH,,12:30,NIL,A9
SAS29C,ZZZZ,EKCH,,12:40,NIL,E36
SAS625,ZZZZ,EKCH,,13:00,NIL,A20
RYR68T,ZZZZ,EKCH,,13:05,NIL,F7
SAS2836,ZZZZ,EKCH,,13:30,NIL,E90
SAS1217,ZZZZ,EKCH,,13:30,NIL,E36
